,0,1,2,3,4,5,6,7,8,9
0,Hospital General de Barranquilla,OPERATIONAL,"Cl. 33 #33-09, Barranquilla, Atlántico, Colombia",ChIJD_-cWV8t9I4R0wpXpo4FCus,10.9731583,-74.7804278,3.8,"['hospital', 'health', 'point_of_interest', 'establishment']",37,hospital
1,Hospital universitario Cari Sede de Alta Complejidad,OPERATIONAL,"Cl. 57 #23-100, Barranquilla, Atlántico, Colombia",ChIJGeLt-0Yt9I4R5ti_8mFsjiY,10.9706529,-74.80065479999999,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",45,hospital
2,Hospital Nazareth,OPERATIONAL,"Cra. 16 #47B-06, Barranquilla, Atlántico, Colombia",ChIJffrEO0ot9I4RSWMGpY_EC3o,10.960692,-74.80181809999999,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",37,hospital
3,Hospital Niño Jesús,OPERATIONAL,"Cra. 75 #79B, Barranquilla, Atlántico, Colombia",ChIJr1jqhZUt9I4REcqtHD2CPmM,11.0186891,-74.8035257,4.0,"['hospital', 'health', 'point_of_interest', 'establishment']",59,hospital
4,Hospital Pediátrico de Barranquilla,OPERATIONAL,"Cra. 21 #50-22, Barranquilla, Atlántico, Colombia",ChIJC_6QNE8t9I4RB5Zhq7gyCJI,10.96568,-74.79739,4.0,"['hospital', 'health', 'point_of_interest', 'establishment']",4,hospital
5,Clínica Centro,OPERATIONAL,"Cl. 40 ##41-110, Barranquilla, Atlántico, Colombia",ChIJR1ZC62Et9I4RdZAARNWiJ6k,10.9814711,-74.78194239999999,4.0,"['hospital', 'health', 'point_of_interest', 'establishment']",40,hospital
6,HOSPITAL GENERAL DE BARRANQUILLA,OPERATIONAL,"Cl. 65b ##38b-23, Barranquilla, Atlántico, Colombia",ChIJ7XQpb9ct9I4RBBC6SNB3ebY,10.9846032,-74.80185349999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
7,Fundación Hospital Universitario Metropolitano,OPERATIONAL,"Cra. 42F #75B-18, Barranquilla, Atlántico, Colombia",ChIJy9548A4t9I4RkW32uhYV7G4,10.9928882,-74.8119535,4.4,"['hospital', 'health', 'point_of_interest', 'establishment']",45,hospital
8,Clínica San Martín Barranquilla Ltda.,OPERATIONAL,"Cra. 43 ## 70 - 106, Barranquilla, Atlántico, Colombia",ChIJI9OVFg0t9I4RlKSHHqCgq_k,10.9909047,-74.8054908,4.2,"['hospital', 'health', 'point_of_interest', 'establishment']",20,hospital
9,Centro Neuroligo Del Norte Barranquilla,OPERATIONAL,"Cl. 79 #49b54 # 49c, Barranquilla, Atlántico, Colombia",ChIJKQbf5wkt9I4RFkEHyYaxRQQ,10.9998652,-74.81112900000001,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
10,Clínica La Asunción - URGENCIAS,OPERATIONAL,"Cl. 70b ##41 - 94, Barranquilla, Atlántico, Colombia",ChIJbwb5PBIt9I4RUzmMPwT_LmY,10.9896282,-74.8071045,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",88,hospital
11,CLINICA JALLER (Alta Complejidad),OPERATIONAL,"Calle 61 Esquina Carrera 53, Barranquilla, Atlántico, Colombia",ChIJB6pc1HAt9I4RL-EAYltLunk,10.9939839,-74.7948296,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",27,hospital
12,Hospital Del Bosque,OPERATIONAL,"a 8a-82, Cl. 74 #8a-2, Barranquilla, Atlántico, Colombia",ChIJ____v9PS9Y4R4i9rBG7v_So,10.9529505,-74.8200069,1.0,"['hospital', 'health', 'point_of_interest', 'establishment']",1,hospital
13,Clinica General del Norte,OPERATIONAL,"Colombia, Barranquilla, Atlántico, Colombia",ChIJXzBuoXQt9I4R02jhipgx4Ks,10.9949442,-74.8029655,3.2,"['hospital', 'health', 'point_of_interest', 'establishment']",223,hospital
14,Clinica Misericordia Internacional SAS,OPERATIONAL,"Cra. 74 #76 -105, Barranquilla, Atlántico, Colombia",ChIJqeKeG5Et9I4R9ediqeyEzj0,11.0142552,-74.7960564,3.4,"['hospital', 'health', 'point_of_interest', 'establishment']",72,hospital
15,Norte De Barranquilla,OPERATIONAL,"Cl. 87, Barranquilla, Atlántico, Colombia",ChIJNy7A6wUt9I4Rj2H7BhJpI2Q,11.0048064,-74.8219656,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
16,Clínica de la costa,OPERATIONAL,"Cra. 50 ##80-90, Barranquilla, Atlántico, Colombia",ChIJKYTWvqct9I4RHzlNLcmLjtY,11.002203,-74.8129818,3.9,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",100,hospital
17,Clínica Murillo,OPERATIONAL,"Cl. 45 ##20-77, Barranquilla, Atlántico, Colombia",ChIJ5RdD200t9I4RTlhUwmUzbWI,10.9605924,-74.79392299999999,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",50,hospital
18,Unidad de Urgencias alto Prado,OPERATIONAL,"carrera 46#79-191, Barranquilla, Atlántico, Colombia",ChIJqcfsLMgt9I4RtFkU49dfyFs,10.9953478,-74.8066784,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
19,Clinica Reina Catalina,OPERATIONAL,"Cl. 82 #47-12, Barranquilla, Atlántico, Colombia",ChIJoe9WBagt9I4RyoI822AA2RQ,11.0014731,-74.8162323,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",79,hospital
20,CHEATERS Night Club,OPERATIONAL,"Entre Carrera 27 y 29, Murillo Toro, Barranquilla, Atlántico, Colombia",ChIJNfykDVst9I4RcYhKSNOBrds,10.9705257,-74.7900162,3.6,"['night_club', 'point_of_interest', 'establishment']",22,night+club
21,Frogg club,OPERATIONAL,"Cl. 93 ##43-43, Barranquilla, Atlántico, Colombia",ChIJQ_heS1Us9I4RYbJiuCDf1Xw,11.0028,-74.8273,3.8,"['night_club', 'point_of_interest', 'establishment']",69,night+club
22,The Hangover Disco Bar,CLOSED_TEMPORARILY,"Calle 84 casi esquina con Carrera 47 #46, Barranquilla, Atlántico, Colombia",ChIJy0sKy6kt9I4RZWKLUV8rf3w,11.0020824,-74.81873279999999,4.0,"['night_club', 'bar', 'point_of_interest', 'establishment']",42,night+club
23,Bar Topless Night Club,CLOSED_TEMPORARILY,"69-, Cra. 46 #72101, Barranquilla, Atlántico, Colombia",ChIJfQnefAst9I4RllGb7iVeFck,10.9949935,-74.8062013,4.0,"['bar', 'point_of_interest', 'establishment']",3,night+club
24,TRUCUPEY LATIN DISCO,OPERATIONAL,"CC Portal Del Prado, Cl. 53 #46-192 M 305, Barranquilla, Atlántico, Colombia",ChIJPcS1Fnst9I4RW28hVLfetW0,10.9903349,-74.7888296,4.3,"['night_club', 'point_of_interest', 'establishment']",1083,night+club
25,Díscolo,OPERATIONAL,"Centro Comercial Miramar Carrera 43 #99-50 Piso 2 Local 13,14 y 15, Miramar, Barranquilla, Atlántico, Colombia",ChIJwXL4N1Ys9I4RZiFcXwabDt0,11.0031109,-74.8353632,4.3,"['night_club', 'point_of_interest', 'establishment']",861,night+club
26,PLEYCLUB,OPERATIONAL,"Cra. 46 ##73-26, Barranquilla, Atlántico, Colombia",ChIJZ1FEykIt9I4RXsS2YVaHQGU,10.9955658,-74.80724099999999,5.0,"['night_club', 'point_of_interest', 'establishment']",3,night+club
27,Rotatorio,CLOSED_TEMPORARILY,"Barranquilla, Atlántico, Colombia",ChIJdRMrzHst9I4RWoBPE7nGJ0Y,10.9931145,-74.78906649999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
28,Disco-Bar Donde Javier,CLOSED_TEMPORARILY,"Cl. 44 #7H esquina, Barranquilla, Atlántico, Colombia",ChIJZaiKRbfS9Y4RDAEflIl6QHw,10.9459566,-74.79880229999999,4.2,"['night_club', 'point_of_interest', 'establishment']",9,night+club
29,Moy's Club,OPERATIONAL,"Cra. 52 #107, Barranquilla, Atlántico, Colombia",ChIJ-31fCqAt9I4RWCbX-j7-gRI,11.00034,-74.8052,4.2,"['night_club', 'point_of_interest', 'establishment']",6,night+club
30,Touring y Automovil Club de Columbia,CLOSED_TEMPORARILY,"Barranquilla, Atlántico, Colombia",ChIJzcdZAXst9I4RJL-gmbkuX20,10.9908791,-74.7889751,4.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
