,0,1,2,3,4,5,6,7,8,9
0,Hospital Departamental Mario Correa Rengifo,OPERATIONAL,"Cra. 78 #No. 2A - 00, Cali, Valle del Cauca, Colombia",ChIJs7MUW-CjMI4Ra5WiTMf-UVA,3.3873479,-76.55003280000001,3.3,"['hospital', 'health', 'point_of_interest', 'establishment']",83,hospital
1,La Clínica CDC - MED,OPERATIONAL,"Cl. 5b 3 ##38-44, Cali, Valle del Cauca, Colombia",ChIJBQbOIp-mMI4Rku7EesGexd4,3.4261677,-76.54429929999999,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",31,hospital
2,Comfandi Tequendama,OPERATIONAL,"Cl. 5a #42-15, Cali, Valle del Cauca, Colombia",ChIJBYI7WqCmMI4RWmnBu5B31O8,3.4216118,-76.5467063,3.3,"['hospital', 'health', 'point_of_interest', 'establishment']",48,hospital
3,Tu Salud,OPERATIONAL,"Av. 4 Nte., Cali, Valle del Cauca, Colombia",ChIJYZKU-2qmMI4RJKP4kgumYTA,3.4612152,-76.52815729999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
4,Hospital de San Juan De Dios,OPERATIONAL,"Cra. 4 ###17-67, Cali, Valle del Cauca, Colombia",ChIJAx4BQ2imMI4R2pJtCOBgaqE,3.4548876,-76.5277843,3.2,"['hospital', 'health', 'point_of_interest', 'establishment']",116,hospital
5,Hospital Universitario Fundación Valle Del Lili,OPERATIONAL,"Autopista Simón Bolívar, Cali, Valle del Cauca, Colombia",ChIJrd2WNg2hMI4RMlfs7_zRf2Q,3.3728404,-76.5260999,4.7,"['hospital', 'health', 'point_of_interest', 'establishment']",54,hospital
6,Hospital Basico Cañaveralejo,OPERATIONAL,"Cl. 3 Oe. ##12a20, Cali, Valle del Cauca, Colombia",ChIJz3lRdX6mMI4RhKuyyNqheag,3.4450698,-76.5432755,4.1,"['hospital', 'health', 'point_of_interest', 'establishment']",40,hospital
7,Departamental Hospital,OPERATIONAL,"Parqueadero Hospital Universitario Del Valle, Cali, Valle del Cauca, Colombia",ChIJZVwKPpymMI4RGUsshecmspY,3.4300082,-76.54456499999999,3.5,"['hospital', 'health', 'point_of_interest', 'establishment']",6,hospital
8,H.U.V,OPERATIONAL,"Cl. 5 ##36 - 08, Cali, Valle del Cauca, Colombia",ChIJi54WD5umMI4R_akLadttvWw,3.4306772,-76.5448574,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",203,hospital
9,Hospital Departamental Universitario Evaristo García,OPERATIONAL,"Cl. 5, Cali, Valle del Cauca, Colombia",ChIJafOvZZymMI4ReX16XQsRUus,3.4310365,-76.54498269999999,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",15,hospital
10,Hospital Cañaveralejo,OPERATIONAL,"Cra. 44 ##9c-178, Cali, Valle del Cauca, Colombia",ChIJwQAPRKWmMI4R7eWwFoG0Dqc,3.4159902,-76.5376922,2.6,"['hospital', 'health', 'point_of_interest', 'establishment']",8,hospital
11,Hospital Carlos Holmes Trujillo,OPERATIONAL,"Cl. 72u ##28e-00, Cali, Valle del Cauca, Colombia",ChIJKelRhyOnMI4R5o2PUeGfW4w,3.4186836,-76.49401759999999,3.8,"['hospital', 'health', 'point_of_interest', 'establishment']",77,hospital
12,Hospital Isaías Duarte Cancino E.S.E.,OPERATIONAL,"Mojica II, Cra 28E3, Cali, Valle del Cauca, Colombia",ChIJqzGd0TCnMI4RBIKwDASnois,3.4113051,-76.4848228,3.2,"['hospital', 'health', 'point_of_interest', 'establishment']",58,hospital
13,Hospital Psiquiátrico Universitario Del Valle,OPERATIONAL,"#8000, Cl. 5, Cali, Valle del Cauca, Colombia",ChIJc6_SVV6hMI4R-tKh805A-P4,3.3875027,-76.5456396,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",50,hospital
14,Clínica de Occidente Urgencias,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJSVCedWumMI4RXLG_LzxP7Zs,3.460919,-76.530226,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",14,hospital
15,Hospital Universitario Fundación Valle del Lili,OPERATIONAL,"Cra. 98 ## 18-49, Cali, Valle del Cauca, Colombia",ChIJRa00MHOhMI4R5wrq8sDs444,3.3730412,-76.52663179999999,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",294,hospital
16,Hospital Primitivo Iglesias,OPERATIONAL,"Carrera 16a # 33d - 20, Cra. 16a, Cali, Valle del Cauca, Colombia",ChIJ0XCMJVamMI4R-nFrkX8L4Zk,3.4432041,-76.5101268,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",75,hospital
17,IMC HOSPITAL,OPERATIONAL,"jowhar,street macow, Cali, Valle del Cauca, Colombia",ChIJheuC0GWmMI4RnMyL5LcbCzw,3.4516467,-76.5319854,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
18,Hospital Carlos Carmona Montoya,OPERATIONAL,"Cl. 39, Cali, Valle del Cauca, Colombia",ChIJjx9gGs6mMI4RjYm0mKt5t8U,3.4097101,-76.51472700000001,3.2,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",46,hospital
19,hospital universitario,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJrTcqoeGpMI4R6GhsIzLsWf4,3.4912823,-76.50691069999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
20,Clinica ortopedica,OPERATIONAL,"Santa Mónica Residencial, Cali, Valle del Cauca, Colombia",ChIJ-6jeKu6nMI4RSMm2TntVGa8,3.4694811,-76.53254299999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
21,Hospital,OPERATIONAL,"Cl. 5 ##19-12, Cali, Valle del Cauca, Colombia",ChIJNxp3zFWhMI4RIOk4zwaWk3E,3.40051,-76.5461679,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
22,Hospital Valle De Lili,OPERATIONAL,"Unnamed Road, Cali, Valle del Cauca, Colombia",ChIJcwwH5sOhMI4RVbqQVLiJEec,3.3739303,-76.52615500000002,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']",1,hospital
23,Hospital San Juan De Dios,OPERATIONAL,"Cra. 4N ##17-67, Cali, Valle del Cauca, Colombia",ChIJc9Eg01CpMI4RvfCpUV3jLv8,3.4974995,-76.493304,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
24,Urgencias Imbanaco,OPERATIONAL,"Cra. 38 Bis #5b 2, 125 a 5b #2-1, Cali, Valle del Cauca, Colombia",ChIJC_b78aGmMI4RcAYFsSb1I58,3.4261099,-76.54481150000001,2.9,"['hospital', 'health', 'point_of_interest', 'establishment']",15,hospital
25,Hospital Joaquín Paz Borrero,OPERATIONAL,"Cl. 72a ## 7a-00, Cali, Valle del Cauca, Colombia",ChIJRcKmqsGnMI4R2N61cdhMr7c,3.4651449,-76.4822942,4.1,"['hospital', 'health', 'point_of_interest', 'establishment']",53,hospital
26,Clinica Esimed Cali Norte,OPERATIONAL,"Avenida 3 Norte # 32AN-40, Cali, Valle del Cauca, Colombia",ChIJy_elRzymMI4RORxwRFeashk,3.4695992,-76.52202750000001,2.4,"['hospital', 'health', 'point_of_interest', 'establishment']",27,hospital
27,Clínica De Los Remedios,OPERATIONAL,"Cra. 2 #24-157, Cali, Valle del Cauca, Colombia",ChIJ5QIuP2qmMI4R8W5hMGvbmho,3.4597247,-76.5216099,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",21,hospital
28,Hospital Mario Correa Rengifo,OPERATIONAL,"Cra 78 ## 2a-00, Cali, Valle del Cauca, Colombia",ChIJtTP-O9qpMI4RGtelIoSq_R0,3.4842049,-76.4942646,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
29,clinica alianza de angeles,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJIbQ5CYymMI4RVNcZ8YTQRms,3.4384531,-76.5305008,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
30,Hospital de Alfonso Lopez,OPERATIONAL,"#72a- a 72a-, Cra. 7a #72a64, Cali, Palmira, Valle del Cauca, Colombia",ChIJNfOwqcGnMI4Rhxswt4Fph4g,3.4654931,-76.4822081,3.0,"['hospital', 'health', 'point_of_interest', 'establishment']",4,hospital
31,Hospital Universitario,OPERATIONAL,"Cl. 52 Nte. ##1 Norte-13, Cali, Valle del Cauca, Colombia",ChIJNQCs7DKnMI4RwQiHc5kGVi0,3.4763285,-76.50447199999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
32,Clínica San José,OPERATIONAL,"Cra. 43 #17, Cali, Valle del Cauca, Colombia",ChIJhxFs6aCmMI4R7sK-XEqs_Oc,3.420716,-76.5469449,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
33,Hospital mario correa rengifo,OPERATIONAL,"Cl. 2 Bis Oe., Cali, Valle del Cauca, Colombia",ChIJ3caVESmjMI4Rmod6ZjF00iA,3.3919836,-76.56102229999999,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",3,hospital
34,Parqueadero Edificio De Colores,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJdaveuN-nMI4RmwcbHj0hYww,3.422753,-76.541795,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
