,0,1,2,3,4,5,6,7,8,9
0,Hospital General de Medellín,OPERATIONAL,"Cra. 48 ###32 - 102, Medellín, Antioquia, Colombia",ChIJXZvvv0woRI4RBvd2KQHqshk,6.2342742,-75.57245329999999,4.2,"['hospital', 'health', 'point_of_interest', 'establishment']",163,hospital
1,Pablo Tobón Uribe Hospital,OPERATIONAL,"Cl. 78b #69-240, Medellín, Antioquia, Colombia",ChIJhYLWICQpRI4R-kVDWQats1U,6.2770654,-75.579813,4.7,"['hospital', 'health', 'point_of_interest', 'establishment']",361,hospital
2,Hospital Universitario San Vicente Fundación,OPERATIONAL,"Calle 64 # 51D - 154, Medellín, Antioquia, Colombia",ChIJDa4FLeQoRI4Rr_C3Hmsu5Eo,6.2617882,-75.5658217,4.3,"['hospital', 'health', 'point_of_interest', 'establishment']",178,hospital
3,Clinica Medellin,OPERATIONAL,"Sede Occidente, Cra. 65B ## 30-95, Medellín, Antioquia, Colombia",ChIJLbvWOLcpRI4RBQKs0YEJCUQ,6.232832999999999,-75.58434249999999,3.7,"['hospital', 'health', 'point_of_interest', 'establishment']",128,hospital
4,hospital madre laura ips ut - medellin,OPERATIONAL,"Cra. 65 #4520, Medellín, Antioquia, Colombia",ChIJw5pZoQcpRI4R_q9cQJ4GW2Y,6.250424799999999,-75.5833224,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
5,Hospital ortopédico Medellín,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJTZwSgR8pRI4Rsjy6jo1S9iM,6.2368009,-75.61333259999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
6,Hospital Infantil Santa Ana Medellín,OPERATIONAL,"Cl. 14 ##43B-146, Medellín, Antioquia, Colombia",ChIJf6nwqC0oRI4R2jZ20KuBhJo,6.215237999999999,-75.5715259,4.4,"['hospital', 'health', 'point_of_interest', 'establishment']",54,hospital
7,Clínica Medellín sede Occidente,OPERATIONAL,"Cra. 65B ##30-95, Medellín, Antioquia, Colombia",ChIJxRGRyfkoRI4R83kMgfpiA-Q,6.232832999999999,-75.58434249999999,3.9,"['hospital', 'health', 'point_of_interest', 'establishment']",79,hospital
8,Hospital La María E.S.E.,OPERATIONAL,"Cl. 92ee ##67-61, Medellín, Antioquia, Colombia",ChIJ648edyopRI4RwCvqGw1r59M,6.2864493,-75.5741232,3.1,"['hospital', 'health', 'point_of_interest', 'establishment']",109,hospital
9,Hospital General de Medellín,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJB5Mw57MpRI4RVF_LwXvOAyg,6.2264601,-75.59859829999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
10,Hospital General de Medellin,OPERATIONAL,"Cl. 29D ##55-100, Medellín, Antioquia, Colombia",ChIJ6-_K2tQpRI4RC-8Rfxqs8so,6.231066999999999,-75.58066079999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
11,Hospital Universitario San Vicente Fundacion,OPERATIONAL,"#65- a, Cra. 50c #65115, Medellín, Antioquia, Colombia",ChIJ4SpUi-UoRI4RV0w4FW0_N8A,6.2638885,-75.56504439999999,4.4,"['hospital', 'health', 'point_of_interest', 'establishment']",40,hospital
12,Hospital Infantil Concejo de Medellín,OPERATIONAL,"Cl. 72a #4870, Medellín, Antioquia, Colombia",ChIJiaWjxukoRI4RFqD_aYo-g2M,6.268134000000001,-75.5588017,3.0,"['hospital', 'health', 'point_of_interest', 'establishment']",96,hospital
13,Hospital General de Medellín sede nueva (de la 80),OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJq-NZncwpRI4RXeKGsoRnsBo,6.224373399999999,-75.599324,5.0,"['hospital', 'health', 'point_of_interest', 'establishment']",1,hospital
14,hospital pablo tobon uribe,OPERATIONAL,"Cra. 46 #63-58, Medellín, Antioquia, Colombia",ChIJRdcV2vEoRI4RS-QLSHD0iKU,6.2582241,-75.5587948,3.3,"['hospital', 'health', 'point_of_interest', 'establishment']",3,hospital
15,Clínica Las Américas Auna,OPERATIONAL,"Dg. 75B ##2A-80/140, Medellín, Antioquia, Colombia",ChIJNRigOdwpRI4RXK_pHr4aWoM,6.2142563,-75.59531590000002,4.2,"['hospital', 'health', 'point_of_interest', 'establishment']",234,hospital
16,Hospital Infantil San Vicente Fundación,OPERATIONAL,"Cl. Barranquilla #51b-22, Medellín, Antioquia, Colombia",ChIJdzDE3uUoRI4R_2256K-_E_s,6.2636055,-75.5643635,4.9,"['hospital', 'health', 'point_of_interest', 'establishment']",18,hospital
17,Nueva Clínica Sagrado Corazón,OPERATIONAL,"Cl. 49 #35 – 61, Medellín, Antioquia, Colombia",ChIJs87A_FsoRI4RNqdTenpS6XI,6.2427058,-75.55744659999999,3.6,"['hospital', 'health', 'point_of_interest', 'establishment']",234,hospital
18,Hospital ces,OPERATIONAL,"Cra. 48 ##32-84, Medellín, Antioquia, Colombia",ChIJXWCV74opRI4RIC0HgDMZ_DQ,6.2339996,-75.5731447,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
19,Medellin san Diego,OPERATIONAL,"Cra. 43 #183, Medellín, Antioquia, Colombia",ChIJqcCb-UsoRI4RtGYCX9tv6oM,6.2327046,-75.56900089999999,0.0,"['hospital', 'health', 'point_of_interest', 'establishment']",0,hospital
20,Gusto Nightclub,OPERATIONAL,"Cl. 9a #3826, Medellín, Antioquia, Colombia",ChIJpelYhSkoRI4Rsz32YGyANbU,6.209215899999999,-75.5679268,3.6,"['night_club', 'point_of_interest', 'establishment']",50,night+club
21,Luxury Club Medellín,OPERATIONAL,"Cra. 39 #845, Medellín, Antioquia, Colombia",ChIJxaG49SkoRI4R92nvyRSgFnE,6.208367,-75.568293,4.3,"['night_club', 'point_of_interest', 'establishment']",368,night+club
22,Calle 9+1,OPERATIONAL,"Cl. 10 ## 40-10, Medellín, Antioquia, Colombia",ChIJsV5leSkoRI4R2VhLveV6Y68,6.209785999999999,-75.5680845,4.2,"['night_club', 'bar', 'point_of_interest', 'establishment']",53,night+club
23,Industry club Medellin,OPERATIONAL,"Calle 26a #43f72, Medellín, Antioquia, Colombia",ChIJETWXdTUoRI4RwFCY2Y7G9OA,6.2267869,-75.5713971,3.9,"['night_club', 'point_of_interest', 'establishment']",81,night+club
24,Salón Amador,OPERATIONAL,"Cra. 36 #1038, Medellín, Antioquia, Colombia",ChIJDzB_rikoRI4RK7880NQlw-4,6.209120599999999,-75.56583669999999,4.2,"['night_club', 'point_of_interest', 'establishment']",118,night+club
25,Discoteca Fase II,OPERATIONAL,"Cra. 44 #30-27, Medellín, Antioquia, Colombia",ChIJ2-kOU0ooRI4RCbRC-9o5QPE,6.2303859,-75.570915,3.9,"['night_club', 'point_of_interest', 'establishment']",112,night+club
26,La Clínica Night Club,CLOSED_TEMPORARILY,"Cl. 8 ##37a-41, Medellín, Antioquia, Colombia",ChIJxdPi-ykoRI4RSznDrooycCc,6.207503099999999,-75.5680521,3.5,"['night_club', 'point_of_interest', 'establishment']",2,night+club
27,Horeb Bar Club | Parque Lleras,CLOSED_TEMPORARILY,"Cl. 8 #37A-41, 2o Piso, Medellín, Antioquia, Colombia",ChIJBTUK_CkoRI4Rl-COd4k3yiA,6.207459399999999,-75.56798119999999,3.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
28,Discotecas Medellin,CLOSED_TEMPORARILY,"Cra. 37a #3 #8-59 Piso, Medellín, Antioquia, Colombia",ChIJb6R_-SkoRI4RS9yli3xZMQY,6.207843,-75.56775499999999,4.1,"['night_club', 'bar', 'point_of_interest', 'establishment']",60,night+club
29,San Diego Show Night Club,OPERATIONAL,"Cl. 37 #45 15, Medellín, Antioquia, Colombia",ChIJjxYkvU0oRI4Rghd0ZpJAY6k,6.2369533,-75.5705667,3.4,"['night_club', 'point_of_interest', 'establishment']",13,night+club
