,ciudad,codproyecto,direccion,latitud,longitud,geometry
216,Bogota,C90123,"Vía Siberia Km. 9,5",4.783698, -74.189846,POINT (4.783698 -74.189846)
241,Bogota,C90148,Cr. 1A # 11-130 Chía,4.856550, -74.049038,POINT (4.85655 -74.049038)
249,Bogota,C90156,Cr. 116 # 23-31,4.689472, -74.148386,POINT (4.689472 -74.148386)
293,Bogota,C90200,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
294,Bogota,C90201,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
377,Bogota,C90286,Vía Funza Siberia,4.747641, -74.163211,POINT (4.747641 -74.163211)
416,Bogota,C90326,Km 19 Vía Bogotá Mosquera,4.714264, -74.242264,POINT (4.714264 -74.24226400000001)
460,Bogota,C90370,Mosquera,4.723736, -74.240857,POINT (4.723736 -74.24085700000001)
506,Bogota,C90422,Km. 3.3 vía Siberia-Funza,4.737684, -74.179565,POINT (4.737684 -74.179565)
507,Bogota,C90423,Km. 3.3 vía Siberia-Funza,4.737684, -74.179565,POINT (4.737684 -74.179565)
517,Bogota,C90434,Km. 1 Variante Madrid vía Mosquera,4.719598, -74.238371,POINT (4.719598 -74.238371)
519,Bogota,C90436,100 mts adelante del peaje La Tebaida,4.750661, -74.180103,POINT (4.750661 -74.180103)
537,Bogota,C90455,Calle 12B # 71D-61,4.645248, -74.129734,POINT (4.645248 -74.129734)
553,Bogota,C90473,Cra 36 # 8-442 Zipaquirá,5.029288, -73.980929,POINT (5.029288 -73.980929)
554,Bogota,C90474,Cra 36 # 8-442 Zipaquirá,5.029288, -73.980929,POINT (5.029288 -73.980929)
584,Bogota,C90504,Vía Troncal de Occidente Calle 13,4.697509, -74.220013,POINT (4.697509 -74.22001299999999)
591,Bogota,C90511,Av. Suba con Ciudad de Cali,4.745867, -74.096194,POINT (4.745867 -74.096194)
597,Bogota,C90517,Cra. 27 # 21-75,4.618963, -74.086896,POINT (4.618963 -74.086896)
602,Bogota,C90522,"Vía Cota-Siberia, 1,5 kms antes del round point Siberia",4.774726, -74.143902,POINT (4.774726 -74.143902)
608,Bogota,C90528,Vìa Bogotà Siberia- Frente Spring,4.753137, -74.143978,POINT (4.753137 -74.143978)
611,Bogota,C90531,Entrada Jaime Duque Entrada Ind.Crown ,4.964482, -73.961153,POINT (4.964482 -73.961153)
615,Bogota,C90535,Av. Santa Fé Cl. 50 Sur,4.665867, -74.136400,POINT (4.665867 -74.13639999999999)
616,Bogota,C90536,Cl. 53 Sur # 79C-50,4.614762, -74.171741,POINT (4.614762 -74.171741)
628,Bogota,C90548,Cra. 68 con Cl. 95,4.686910, -74.076671,POINT (4.68691 -74.076671)
630,Bogota,C90550,Av. El Dorado con Ciudad de Cali # 51-66,4.680943, -74.117162,POINT (4.680943 -74.11716199999999)
636,Bogota,C90556,Av. Boyacá con Cl. 80,4.694831, -74.086126,POINT (4.694831 -74.08612599999999)
643,Bogota,C90563,Clle.78 # 11-43,4.662648, -74.055308,POINT (4.662648 -74.055308)
646,Bogota,C90566,Cr. 54 con 127,4.709304, -74.062520,POINT (4.709304 -74.06252000000001)
650,Bogota,C90570,Km. 2 Autop. Medellín Costado Sur,4.743241, -74.140184,POINT (4.743241 -74.140184)
655,Bogota,C90575,Ac.26 # 57-41,4.645230, -74.099075,POINT (4.64523 -74.099075)
656,Bogota,C90576,Ac.26 # 57-41,4.645230, -74.099075,POINT (4.64523 -74.099075)
657,Bogota,C90577,Vía Parque Jaime Duque,4.964482, -73.961153,POINT (4.964482 -73.961153)
660,Bogota,C90580,Cl.153 Entre Autop Norte y Av. Boyacá,4.739492, -74.057307,POINT (4.739492 -74.05730699999999)
661,Bogota,C90581,Cl.153 Entre Autop Norte y Av. Boyacá,4.739492, -74.057307,POINT (4.739492 -74.05730699999999)
668,Bogota,C90588,Cr. 7 # 156-80/78,4.731978, -74.023552,POINT (4.731978 -74.023552)
669,Bogota,C90589,Cl. 66 # 7-28,4.650128, -74.058899,POINT (4.650128 -74.058899)
670,Bogota,C90590,Calle 93 con 12,4.675300, -74.049183,POINT (4.6753 -74.049183)
672,Bogota,C90593,Vereda Canavita Tocancipa,4.940373, -73.944123,POINT (4.940373 -73.944123)
673,Bogota,C90594,Sobre Vía Round Point Siberia antes peaje,4.739590, -74.161321,POINT (4.73959 -74.161321)
675,Bogota,C90596,Av. 26 Al lado Puente áereo,4.689805, -74.130433,POINT (4.689805 -74.130433)
676,Bogota,C90597,Av. 26 Al lado Puente áereo,4.689805, -74.130433,POINT (4.689805 -74.130433)
677,Bogota,C90598,Av. El Dorado (Cl. 26) con Cra. 92,4.683150, -74.119621,POINT (4.68315 -74.119621)
678,Bogota,C90599,Cl. 93 # 17-45,4.677469, -74.053523,POINT (4.677469 -74.053523)
680,Bogota,C90601,Cr. 13 # 93A-21,4.677047, -74.049288,POINT (4.677047 -74.049288)
684,Bogota,C90607,Cl. 98 # 10-46,4.681182, -74.043752,POINT (4.681182 -74.043752)
687,Bogota,C90610,Autop. Chia-Cajicá Costado Occidental,4.884918, -74.036987,POINT (4.884918 -74.036987)
691,Bogota,C90614,Av. Cl. 24 # 95A-80,4.677193, -74.129488,POINT (4.677193 -74.12948799999999)
699,Bogota,C90629,Cr. 45A con 94,4.683209, -74.058821,POINT (4.683209 -74.05882099999999)
704,Bogota,C90641,Transv. 23 # 95-35,4.683627, -74.056706,POINT (4.683627 -74.05670600000001)
706,Bogota,C90643,Av. Suba con calle 103B,4.691055, -74.066202,POINT (4.691055 -74.066202)
