,ciudad,codproyecto,direccion,latitud,longitud
0,Barranquilla,C15000,Vía 40 con Cl. 73,11.0093944,-74.79121529999999
5,Barranquilla,C15005,Cl. 110 No 12F - 29,10.967769,-74.8391231
7,Barranquilla,C15007,Cl. 110 No 6 - 335,10.950006,-74.83399899999999
8,Barranquilla,C15008,Km. 6 Via Cordialidad Galapa,,
9,Barranquilla,C15009,Cl. 110 entre Cr. 43 y 46,10.995709,-74.8391889
10,Barranquilla,C15010,Cr. 3 Entre Cr 42 y 47 hasta la rivera del magdalena,11.0041072,-74.80698129999999
11,Barranquilla,C15011,Cll 110 # 8 - Al lado de Zona Express,10.9536915,-74.8336748
14,Barranquilla,C15014,Cr. 55 # 99-Esq.,11.0150707,-74.82774069999999
15,Barranquilla,C15015,Cl. 77B # 59-60,11.007991,-74.8027551
16,Barranquilla,C15016,Cr. 51B # 76-112,11.002099,-74.8076228
17,Barranquilla,C15017,Km. 4 via a Puerto Colombia (Cr. 51B),11.016469,-74.84170069999999
18,Barranquilla,C15018,Cr. 53 # 74-181,11.0008445,-74.8047173
20,Barranquilla,C15020,Cr. 56 # 74-166,11.0027834,-74.8017993
21,Barranquilla,C15021,Cr. 50 entre Cl. 85 y 86,11.0049151,-74.8198862
23,Barranquilla,C15023,Cr. 67B # 48-07,11.0011057,-74.7861994
25,Barranquilla,C15025,Cr. 55 # 72-152,11.0007555,-74.80135349999999
26,Barranquilla,C15026,"Km. 3 Cordialidad, via a Galapa",,
28,Barranquilla,C15028,Cr. 50 No 85 - 15,11.0047662,-74.8200995
30,Barranquilla,C15030,Vía 40 con Cl. 79C frente al Río,11.0219509,-74.8002099
31,Barranquilla,C15031,Cl. 100 con Cra 53,11.0159194,-74.8314793
32,Barranquilla,C15032,Cl. 100 con Cra 54,11.0016968,-74.8039136
33,Barranquilla,C15033,Cr. 51B Cl. 80,11.0038979,-74.8127399
34,Barranquilla,C15034,Cr. 56 No. 96 - 179,11.0153428,-74.8248247
37,Barranquilla,C15037,"Circunvalar, barrio Sevilla",10.920183,-74.8248148
38,Barranquilla,C15038,"Circunvalar, Cl. 110",10.9945533,-74.83877919999999
39,Barranquilla,C15039,Circunvalar despues de la cordialidad,10.9641046,-74.7920807
41,Barranquilla,C15041,Cl. 90 entre Cr. 50 y 51B,11.0063853,-74.8231225
43,Barranquilla,C15043,Cr. 58 Cl.72 esquina,11.0012906,-74.79840089999999
49,Barranquilla,C15049,Cordialidad Vía a Galapa,10.9518258,-74.8104014
61,Barranquilla,C15063,Cr. 51B vía la Playa,11.0169975,-74.85977729999999
63,Barranquilla,C15065,Av. Tajamares Cl. 35,11.026394,-74.862673
115,Bogota,C90000,Vía Siberia,4.7992783,-74.1107167
117,Bogota,C90002,Cl. 146A # 106-20,4.7420643,-74.089347
118,Bogota,C90003,Av. Esp. # 63-30,4.643604,-74.0794421
119,Bogota,C90004,Cl. 125 # 31-65,4.7050906,-74.0529368
120,Bogota,C90005,Cr. 14 # 94-44,4.679354399999999,-74.0493884
121,Bogota,C90006,Cr. 14 # 81-19,4.6669898,-74.0560368
122,Bogota,C90007,Cr. 11A # 94A-56,4.6786891,-74.0462149
123,Bogota,C90008,Cr. 7 # 156-80/78,4.7327913,-74.0235126
124,Bogota,C90009,Cl. 81 # 7-10,4.6625029,-74.0494837
125,Bogota,C90010,Cr. 13A# 86A-54,4.7198821,-74.1094573
126,Bogota,C90011,Av. Dorado # 68C-61,4.656620999999999,-74.106404
127,Bogota,C90012,Cl. 71 # 5-97,4.6535666,-74.055022
128,Bogota,C90013,Cr. 7 # 39-21,4.6264205,-74.06560329999999
129,Bogota,C90014,Av. C. Cali Cl. 42A Sur,4.6303998,-74.167963
132,Bogota,C90017,Cr. 82A # 6-16,4.6385306,-74.15466359999999
134,Bogota,C90019,Av. Pradilla 2 Este-71,4.8634743,-74.04380669999999
135,Bogota,C90020,Cr. 21 169-76,4.7502869,-74.04387609999999
136,Bogota,C90021,Av. Pradilla # 5-31 Este,4.8628707,-74.053332
138,Bogota,C90023,Av. Cl. 100 # 21-34,4.686667799999999,-74.054722
139,Bogota,C90024,Cl. 28 # 13A-24,4.6173267,-74.0710265
140,Bogota,C90025,Cr. 15 # 98-42,4.6833939,-74.04841739999999
141,Bogota,C90026,Cr. 67 # 167-61,4.751975499999999,-74.0646146
143,Bogota,C90028,Cl. 67 # 7-85,4.6510435,-74.05916669999999
145,Bogota,C90030,Tr. 19A # 98-12,4.6850803,-74.0528241
146,Bogota,C90031,Av. Centenario Cr. 106,4.67285,-74.1517233
148,Bogota,C90033,Cr. 48 # 66-00,4.6957723,-74.0586392
149,Bogota,C90034,Cl. 98 # 21-36 ,4.6856194,-74.0550501
150,Bogota,C90035,Cl. 161 # 17-19,4.7403906,-74.041291
151,Bogota,C90036,Cl. 122 # 9-35,4.7005704,-74.04322599999999
152,Bogota,C90037,Cr. 85D # 51-65,4.6786785,-74.1154511
153,Bogota,C90038,Centro Chía,4.8666594,-74.03683029999999
155,Bogota,C90040,Cr. 30 # 23-37,4.625191,-74.08243809999999
156,Bogota,C90041,Cr. 15 # 80-13,4.6666001,-74.05719429999999
157,Bogota,C90042,Cr. 11A # 98-50,4.6818672,-74.0445137
158,Bogota,C90043,Cl. 90 # 20-46,4.7095324,-74.0937828
159,Bogota,C90044,Cr. 91 # 135-56,4.7338492,-74.0857937
162,Bogota,C90047,Av. Cr. 13 # 95-45,4.6517436,-74.0632665
163,Bogota,C90048,Cl. 167 Cr. 58,4.7496427,-74.05906019999999
164,Bogota,C90049,Cr. 11 # 93A-53,4.6767329,-74.04674279999999
165,Bogota,C90050,Cr. 101 Tr. Suba,4.7427601,-74.09291069999999
166,Bogota,C90051,Cr. 12 # 98-35,4.6822734,-74.0461231
167,Bogota,C90052,Av. Esperanza Cr. 95,4.6394196,-74.098869
171,Bogota,C90056,Av. Américas Cr. 65,4.6288842,-74.1190256
172,Bogota,C90057,Aut. Norte Cl. 183,4.7603395,-74.0420583
173,Bogota,C90058,Cr. 5 Cl. 72,4.6537432,-74.0539039
174,Bogota,C90059,Cr. 9 # 80 - 45/65,4.6626267,-74.0523307
175,Bogota,C90060,Av. 19 # 104-05,4.676665499999999,-74.14565329999999
177,Bogota,C90062,Cl. 90 # 13A-20,4.6739698,-74.0519683
178,Bogota,C90063,Cl. 94A # 11A-73,4.678715,-74.04782399999999
179,Bogota,C90075,Av. NQS Cl. 101,4.670652599999999,-74.0705937
180,Bogota,C90076,Av. 19 # 103-41,4.6758565,-74.14511809999999
